,Sample_size,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,15,25,40,65,100,150,250,400
A,2,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,21,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14
B,3,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 11
C,5,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,31 30
D,8,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,31 30,44 45
E,13,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,31 30,44 45,44 45
F,20,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,31 30,44 45,44 45
G,32,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,31 30,44 45,44 45
H,50,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,22 21,31 30,44 45,44 45
J,80,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,22 21,22 21,31 30,44 45,44 45
K,125,1 0,1 0,1 0,1 0,1 0,1 0,1 0,2 1,2 1,2 1,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,22 21,22 21,22 21,31 30,44 45,44 45
L,200,1 0,1 0,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,22 21,22 21,22 21,22 21,31 30,44 45,44 45
M,315,1 0,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,31 30,44 45,44 45
N,500,1 0,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,31 30,44 45,44 45
P,800,1 0,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,31 30,44 45,44 45
Q,1250,1 0,1 0,2 1,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,31 30,44 45,44 45
R,2000,1 0,1 0,2 1,3 2,4 3,6 5,8 7,11 10,15 14,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,22 21,31 30,44 45,44 45



hola
